Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Type_enc,Vendor_enc,Foundry_Fujitsu,Foundry_GlobalFoundries,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Transistors (million)_log,Die Size (mm^2)_log,TDP (W)_log,FP16 GFLOPS_log,FP32 GFLOPS_log,FP64 GFLOPS_log
130.0,53.0,80.0,37.0,1600.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,3.9889840465642745,,,
180.0,68.0,150.0,37.0,1600.0,,,,2001.0,11.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,5.017279836814924,4.23410650459726,,,
130.0,62.0,80.0,37.0,1733.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.143134726391533,,,
130.0,63.0,80.0,37.0,1800.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.1588830833596715,,,
130.0,62.0,101.0,63.0,1500.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
130.0,62.0,101.0,63.0,1583.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
130.0,62.0,101.0,63.0,1667.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
130.0,62.0,101.0,63.0,1750.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
130.0,62.0,101.0,63.0,1833.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
130.0,25.0,144.0,69.0,1600.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.976733742420574,3.258096538021482,,,
130.0,25.0,144.0,69.0,1600.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.976733742420574,3.258096538021482,,,
130.0,62.0,101.0,63.0,2000.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
130.0,25.0,144.0,69.0,1800.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.976733742420574,3.258096538021482,,,
130.0,25.0,144.0,69.0,1800.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.248495242049359,4.976733742420574,3.258096538021482,,,
130.0,62.0,101.0,63.0,2200.0,,,,2001.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.624972813284271,4.143134726391533,,,
180.0,52.0,217.0,42.0,1300.0,,,,2001.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,3.970291913552122,,,
180.0,55.0,217.0,42.0,1400.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.02535169073515,,,
180.0,58.0,217.0,42.0,1500.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.07753744390572,,,
