Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month
CPU,2001-08-27,180.0,67.0,217.0,42.0,1800.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-07-02,180.0,69.0,217.0,42.0,1800.0,Intel,Intel,,,,2001.0,7.0
CPU,2001-08-27,180.0,69.0,217.0,42.0,1900.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-08-27,180.0,69.0,217.0,42.0,1900.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-01-01,130.0,110.0,146.0,55.0,2000.0,Intel,Intel,,,,2001.0,1.0
CPU,2001-08-27,180.0,72.0,217.0,42.0,2000.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-08-27,180.0,72.0,217.0,42.0,2000.0,Intel,Intel,,,,2001.0,8.0
CPU,2001-01-01,90.0,84.0,109.0,125.0,3060.0,Intel,Intel,,,,2001.0,1.0
CPU,2001-06-01,180.0,38.0,80.0,44.0,800.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-06-01,180.0,27.0,80.0,44.0,933.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-06-01,180.0,29.0,80.0,44.0,1000.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-07-01,130.0,30.0,80.0,44.0,1000.0,Intel,Intel,,,,2001.0,7.0
CPU,2001-06-01,130.0,30.0,80.0,44.0,1000.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-06-01,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-07-01,130.0,29.0,80.0,44.0,1133.0,Intel,Intel,,,,2001.0,7.0
CPU,2001-06-01,130.0,29.0,80.0,44.0,1133.0,Intel,Intel,,,,2001.0,6.0
CPU,2001-07-01,130.0,30.0,80.0,44.0,1200.0,Intel,Intel,,,,2001.0,7.0
CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel,,,,2001.0,7.0
CPU,2001-12-01,130.0,30.0,80.0,44.0,1333.0,Intel,Intel,,,,2001.0,12.0
CPU,2001-12-01,130.0,31.0,80.0,44.0,1400.0,Intel,Intel,,,,2001.0,12.0
CPU,2001-03-21,180.0,36.0,375.0,140.0,900.0,Intel,Intel,,,,2001.0,3.0
CPU,2001-03-21,180.0,36.0,375.0,140.0,900.0,Intel,Intel,,,,2001.0,3.0
CPU,2001-09-11,130.0,8.0,56.0,16.0,800.0,TSMC,VIA,,,,2001.0,9.0
CPU,2001-09-11,130.0,9.0,56.0,16.0,866.0,TSMC,VIA,,,,2001.0,9.0
CPU,2002-06-10,130.0,51.0,80.0,37.0,1533.0,Unknown,AMD,,,,2002.0,6.0
CPU,2002-01-07,180.0,70.0,150.0,37.0,1667.0,Unknown,AMD,,,,2002.0,1.0
CPU,2002-06-10,130.0,60.0,80.0,37.0,1667.0,Unknown,AMD,,,,2002.0,6.0
CPU,2002-06-10,130.0,60.0,80.0,37.0,1667.0,Unknown,AMD,,,,2002.0,6.0
CPU,2002-03-13,180.0,72.0,150.0,37.0,1733.0,Unknown,AMD,,,,2002.0,3.0
CPU,2002-06-10,130.0,68.0,80.0,37.0,1800.0,Unknown,AMD,,,,2002.0,6.0
CPU,2002-08-21,130.0,65.0,80.0,37.0,2000.0,Unknown,AMD,,,,2002.0,8.0
CPU,2002-08-21,130.0,68.0,80.0,63.0,2000.0,Unknown,AMD,,,,2002.0,8.0
CPU,2002-10-01,130.0,68.0,80.0,37.0,2133.0,Unknown,AMD,,,,2002.0,10.0
CPU,2002-08-21,130.0,68.0,80.0,37.0,2083.0,Unknown,AMD,,,,2002.0,8.0
CPU,2002-10-01,130.0,68.0,80.0,37.0,2167.0,Unknown,AMD,,,,2002.0,10.0
CPU,2002-10-01,130.0,74.0,80.0,37.0,2250.0,Unknown,AMD,,,,2002.0,10.0
CPU,2002-11-11,130.0,45.0,101.0,63.0,1800.0,Unknown,AMD,,,,2002.0,11.0
CPU,2002-09-18,130.0,73.0,146.0,55.0,2000.0,Intel,Intel,,,,2002.0,9.0
CPU,2002-09-18,130.0,73.0,146.0,55.0,2000.0,Intel,Intel,,,,2002.0,9.0
CPU,2002-11-20,130.0,73.0,146.0,55.0,2100.0,Intel,Intel,,,,2002.0,11.0
CPU,2002-11-20,130.0,73.0,146.0,55.0,2200.0,Intel,Intel,,,,2002.0,11.0
CPU,2002-01-07,130.0,92.0,146.0,125.0,2000.0,Intel,Intel,,,,2002.0,1.0
CPU,2002-01-07,130.0,92.0,146.0,55.0,2200.0,Intel,Intel,,,,2002.0,1.0
CPU,2002-01-07,130.0,110.0,146.0,55.0,2261.0,Intel,Intel,,,,2002.0,1.0
CPU,2002-04-02,130.0,110.0,146.0,55.0,2400.0,Intel,Intel,,,,2002.0,4.0
CPU,2002-05-06,130.0,92.0,146.0,55.0,2400.0,Intel,Intel,,,,2002.0,5.0
CPU,2002-05-06,130.0,110.0,146.0,55.0,2527.0,Intel,Intel,,,,2002.0,5.0
CPU,2002-08-25,130.0,92.0,146.0,55.0,2600.0,Intel,Intel,,,,2002.0,8.0
CPU,2002-08-25,130.0,110.0,146.0,55.0,2660.0,Intel,Intel,,,,2002.0,8.0
CPU,2002-08-25,130.0,110.0,146.0,55.0,2793.0,Intel,Intel,,,,2002.0,8.0
CPU,2002-04-23,130.0,21.0,131.0,55.0,1400.0,Intel,Intel,,,,2002.0,4.0
CPU,2002-04-23,130.0,26.0,131.0,55.0,1500.0,Intel,Intel,,,,2002.0,4.0
CPU,2002-03-04,130.0,30.0,131.0,55.0,1600.0,Intel,Intel,,,,2002.0,3.0
CPU,2002-03-04,130.0,30.0,131.0,55.0,1700.0,Intel,Intel,,,,2002.0,3.0
CPU,2002-04-23,130.0,30.0,131.0,55.0,1800.0,Intel,Intel,,,,2002.0,4.0
CPU,2002-06-24,130.0,32.0,131.0,55.0,1900.0,Intel,Intel,,,,2002.0,6.0
CPU,2002-06-24,130.0,32.0,131.0,55.0,2000.0,Intel,Intel,,,,2002.0,6.0
CPU,2002-09-16,130.0,35.0,131.0,55.0,2200.0,Intel,Intel,,,,2002.0,9.0
CPU,2002-01-08,130.0,32.0,80.0,44.0,1400.0,Intel,Intel,,,,2002.0,1.0
CPU,2002-02-25,130.0,89.0,217.0,55.0,2000.0,Intel,Intel,,,,2002.0,2.0
CPU,2002-04-23,130.0,89.0,217.0,55.0,2394.0,Intel,Intel,,,,2002.0,4.0
CPU,2002-11-18,130.0,89.0,217.0,55.0,2660.0,Intel,Intel,,,,2002.0,11.0
CPU,2002-09-11,130.0,89.0,217.0,55.0,2790.0,Intel,Intel,,,,2002.0,9.0
CPU,2002-06-03,130.0,10.0,56.0,16.0,1000.0,TSMC,VIA,,,,2002.0,6.0
CPU,2002-06-03,130.0,10.0,56.0,16.0,1000.0,TSMC,VIA,,,,2002.0,6.0
CPU,2003-12-15,130.0,89.0,193.0,69.0,2000.0,Unknown,AMD,,,,2003.0,12.0
CPU,2003-09-23,130.0,89.0,193.0,105.0,2000.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-23,130.0,89.0,193.0,105.0,2200.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-05-06,130.0,47.0,101.0,63.0,2000.0,Unknown,AMD,,,,2003.0,5.0
CPU,2003-09-01,130.0,60.0,171.0,63.0,1667.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-01,130.0,60.0,171.0,63.0,1667.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-01,130.0,63.0,171.0,63.0,1800.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-01,130.0,63.0,171.0,63.0,1800.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-01,130.0,68.0,171.0,63.0,2000.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-01,130.0,68.0,171.0,63.0,2000.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-02-10,130.0,68.0,101.0,63.0,1833.0,Unknown,AMD,,,,2003.0,2.0
CPU,2003-02-10,130.0,55.0,101.0,63.0,1833.0,Unknown,AMD,,,,2003.0,2.0
CPU,2003-09-01,130.0,68.0,171.0,63.0,2083.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-01,130.0,68.0,171.0,63.0,2133.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-13,130.0,68.0,101.0,63.0,1917.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-02-10,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,,,,2003.0,2.0
CPU,2003-02-10,130.0,68.0,101.0,63.0,2167.0,Unknown,AMD,,,,2003.0,2.0
CPU,2003-05-13,130.0,68.0,101.0,63.0,2100.0,Unknown,AMD,,,,2003.0,5.0
CPU,2003-12-01,130.0,68.0,171.0,63.0,2200.0,Unknown,AMD,,,,2003.0,12.0
CPU,2003-05-13,130.0,79.0,101.0,63.0,2333.0,Unknown,AMD,,,,2003.0,5.0
CPU,2003-05-13,130.0,77.0,101.0,63.0,2200.0,Unknown,AMD,,,,2003.0,5.0
CPU,2003-03-12,130.0,25.0,101.0,63.0,1400.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,25.0,101.0,63.0,1400.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-06-17,130.0,25.0,101.0,63.0,1533.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-06-17,130.0,35.0,101.0,63.0,1533.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-03-12,130.0,35.0,101.0,63.0,1667.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,45.0,101.0,63.0,1800.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,35.0,101.0,63.0,1800.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,72.0,101.0,63.0,1800.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,45.0,101.0,63.0,1862.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,35.0,101.0,63.0,1867.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,72.0,101.0,63.0,1867.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,45.0,101.0,63.0,2000.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,72.0,101.0,63.0,2000.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-03-12,130.0,72.0,101.0,63.0,2200.0,Unknown,AMD,,,,2003.0,3.0
CPU,2003-08-01,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-08-01,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-08-01,130.0,82.0,193.0,106.0,2000.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-09-09,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-06-30,130.0,85.0,193.0,106.0,1400.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-09-09,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-06-30,130.0,85.0,193.0,106.0,1600.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-06-30,130.0,85.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-09-09,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-09,130.0,89.0,193.0,106.0,2000.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,,2003.0,11.0
CPU,2003-04-22,130.0,85.0,193.0,106.0,1400.0,Unknown,AMD,,,,2003.0,4.0
CPU,2003-08-05,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-04-22,130.0,85.0,193.0,106.0,1600.0,Unknown,AMD,,,,2003.0,4.0
CPU,2003-08-05,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-04-22,130.0,85.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,4.0
CPU,2003-08-05,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-08-05,130.0,89.0,193.0,106.0,2000.0,Unknown,AMD,,,,2003.0,8.0
CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,,2003.0,11.0
